tweets,self-identity
,3
" 椰子味的信息素可以吗？我可以 毋庸置疑 看到大桥超市就有想买瓶零度的冲动 辩论赛看的是语言输出和思维逻辑，千万不要为论点站队。还有，我是姜老师的事业粉觉得他是凭个人实力应该做导师的男人 解封后第一天开车下班回家的路上，在等红灯的时候听到“请在春天回来好嘛，我的山坡开满了花”那时真的感觉好像历尽了沧桑，终见月朗云舒。 频率相似的人顺其自然就会聚在一起 磁场不合的人讲几句话也在翻山越岭 希望你愿望成真 棉子《勇气》勇气（ 我爱你，无畏人海的拥挤，用尽馀生的勇气，只为能靠近你，哪怕一厘米。 文艺青年心中总是有一些浪漫情怀 命没了  红尘陌上，独自行走。 我想看好妹妹的现场 我们都是这世间匆匆的过客，不是吗。 “有人相爱，有人夜里开车看海”“有人相散，溺死在冗长岁月”“有人难眠，有人背风点烟”今日冷风萧萧，孤单落寞如我。 在这娱乐至死的时代、随波逐流的环境下，难得如此有思想有深度的原画家。欣赏他作出强大冲击力和话题性的时政画作，尤其今日国祭日的作品，直击灵魂。希望他能够依然保持着探索与热忱的精神勇往直前 孤江寒影 江湖故人,相逢何必曾相识好妹妹《离别的车站 (原唱:赵薇)》离别的车站 (原唱:赵薇)（ 不止饭圈，整个互联网都是这种状态。不允许任何与自己想法相悖的东西，吸烟、恋爱观、亲情、友情。大多对自己和亲友一套理论，对带其他人又一套标准。只要不合我的想法我就骂你，攻击你家人朋友，恨不得连别人的祖坟都给翻了。互联网越自由，人越狭隘。 都是女字旁 小王子付鹏直播 亮：“墙头草” 我：“我在，我来了” 喜欢就是毫无理由的护短和潜意识的偏爱 间歇性玩扇子，跟风德云社的lym们开始玩，好几年了还没包浆…几年时间内盘玩次数屈指可数，真是一分耕耘一分收获啊",3
 北京卫视跨年随手一抽，红包到手！我刚刚抽到了北京卫视环球跨年冰雪盛典 的现金红包！这只是个开始，据说还有高达200元的大红包呢！ 不说了，我继续抽红包去了！北京卫视环球跨年冰雪盛典 的红包 北京卫视跨年滴滴 好家伙确实 确认过眼神 是要写论文的人姐妹们救救孩子 这个问卷又短又简单！速来！先谢谢填了的姐妹了么么么么么么么哒 马一个降重 收了 有没有过目不忘的方法能一晚上背出两千字gkdgkd 给我一顶圣诞帽 group work真是头疼看似要做的东西少了其实还是很多一篇论文四种风格别问 问就是人家怎样都不改那我也不改了 中了 谢谢谢谢 昨天刚夸完光遇质量很高就看到了这个 真是有用心在改善了 可以 无脑下单 太富了 鹿角！！我冲了！圣诞套装竟然不用氪金 太美妙了 收了,0
 好好休息 明年见 明天也没办法休息六点起 晚安啦熊熊 给我一顶圣诞帽 对我来说是非常不愉快的十二月，担惊受怕的十二 天，琐事缠身心力交瘁，希望所有的不开心不愉快都可以离开我向你敬礼，salute！ 考研酒店房价格暴涨10倍 这让考场离得远的考生住哪  姜老板 姜企业家 气运联盟首支mv 小熊呀 气运联盟首支mv 田鸿杰田鸿杰田鸿杰 电视剧大赏我已为 投出一票，和我一起选出2020年人气男性角色吧～人气男性角色   田鸿杰 电视剧大赏我已为 投出一票，和我一起选出2020年人气男性角色吧～人气男性角色 电视剧大赏我已为 投出一票，和我一起选出2020年人气电视剧吧～人气剧集  综绽放，逆流上！我最爱的综艺 入围2020年度微博综艺大赏 啦！关注 获取更多独家资讯！【戳下方即可参与投票】人气嘉宾投票火热进行中  CQ 田鸿杰  好哒好哒 不疯不神经 晚安 好家伙瞥了一眼我还以为被出轨了 诶嘿 听说在新装亮相的亚洲新歌榜给 的朋友圈-YKYBtao-黄子韬 打榜能瘦。,2
  hr：你怎么体现你的活泼？我：？？？ 超级无敌巨可爱 新婚甜心是同事小甜剧是拿来做梦的,0
 我爱我的祖国 做某老师作业真的做的我想吐 我和我的女孩们都在2020梦想成真 2020的目标是把作业都写完 考研前最后1天 去年考研前的最后一天什么也没干还生了场病，但是在考场上还是完成了所有题目一年真的太快太快了，转眼间考研离我真的好远了。读研虽然没有很快乐，但是很踏实。祝愿我最好的朋友顺顺利利，祝所有考研er收获理想的分数 ”你小小年纪就读研究生了啊” 随便整点无聊又规律的生活作业任务很多很焦虑，还有很多要过的坎。给自己定了几个小目标，不知道先完成的是哪个呢 转发微博 是交完了两个论文的一周感觉重新回到人间。接下来接手重大project和四篇论文，熬过非人哉的十二月，迎接快乐假期,2
,2
  怕等下太嗨忘记签到，现在先签超话！ 红海nb！ 我喜欢肖战，我太喜欢肖战了！ 啊啊啊啊啊啊我好开心啊！这个跨年好开心！ 啊啊啊啊我人没了没了没了，跳舞了！ 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 往前走别回头！分享 的 动态:2020我想对你说 这是今年的最后一条了，... 绿洲 冲啊宝贝！ 现在去洗澡，出来应该赶得上战哥吧？ 我也sorry 鸡叫中ing 呵呵野人nmb 我也觉得是他在暗示我 呜呜呜太有仪式感了吧 这狗勾怎么那么可爱！ 啊啊啊啊好帅 啊啊啊啊啊红色的！ 好的2021会越来越好的！ woc！好帅！ 期待肖战！ 期待肖战！演出顺利！ 肖战东方卫视跨年 齉龘靐齉齾爩麤龗灪龖厵爨癵骉麣纞虋讟钃鸜麷鞻韽韾顟顠饙騳騱饐龗鱻爩麤灪爨癵籱麣纞钃鸜麷鞻鬰靊飝虪齺魕爧蠿齺虪龘轰䃧袭鱲麡老公想你靐齉癵籱馕骉麣纞虋讟钃鸜麷鞻韽韾顟顠饙饙騳騱饐靐齾龗鱻爩麤灪爨癵籱麣纞鸜麷鞻鬰靊谳镵飝虪齺魕爧蠿齺 老公你看我除了想你啥也不会 啊啊啊期待 肖战东方卫视跨年 Dream一个光点的舞台！想看肖战跳舞啊啊啊啊啊啊啊啊啊！期待肖战！ 开心开心 期待肖战压轴表演！ dream一个光点的舞台！ 所有问题的解决办法就是不去解决，最后总能拖到解决成功。 这孩子真用心 真的不知道等下会发生什么 我刚使用会员特权送给了 5朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！X玖少年团肖战DAYTOY已收到5247412朵花 这不是我家吗？ 呵呵那我要怎么把沉沦的自己捞起来啊？ 发现了一个大问题，所有努力都要白费了，呵呵真有你的垃圾人，问题要重来咯，果然人不可以急于求成！ 好的粉随正主，我立马去认真写昨天看电影的影评！ 无语凝噎 肖战2021顺顺利利 xy上面找人代填问卷以为可以一次性搞掂剩下的数据，结果跟我讲只有三个人，敢情这钱他们是几毛几毛赚的…无语了 哈哈哈哈哥你的金鱼眼不是很明显啦！ 哈哈哈哈哈哈哈肖四 肖战好帅！ 生活总会推着你往前走，所以向前走别回头 期待重庆！ 好想你 哇！拜可肖！ 为什么我还没有看到！！ 恭喜肖战！肖战我喜欢你！ 嗯活在当下 谢谢你活到现在！ 2020再见，我要来迎接美好的2021了！ 刚去超话签好到想着按照惯例去电视剧大赏投票，结果发现结束了？！ 速去dy！过年了！今天好开心好开心好开心！吃了好吃的，还久违地看了电影！超级无敌开心！肖战 希望明年是个好年 ？ 啊啊啊好可爱 哇有小面包吃吗！好开心啊今天！还看了电影！减什么肥！开心最重要！今天我也吃了好多还看了电影嘻嘻肖战 不减了吃面包去 分享 活在当下...不减了，吃面包去 （呜呜呜我也刚去看电影了！绿洲 八百年没化过妆了，发现化妆品都开始变质了！好不容易有机会化妆脸颊还都长满了新的红肿痘痘怎么遮嘛……人家真的想美美地出门去玩一次，不想再蓬头垢面了 原来如此！ 拜托了 对啊所以我该怎么办？问题该怎么解决？ 太好代入了吧 ㊗️肖战2021顺顺利利健健康康平平安安快快乐乐上天对他好一点吧！让他2021过得比2020好吧！肖战2021我想对你说 爱豆v力量 2021肖战顺顺利利开开心心 好可爱啊毛绒绒的，手感真好 我除了哈哈哈哈哈哈哈啊啊啊啊啊啊啥也不会 恭喜肖战实至名归！ 虽然但是wbzy的king什么时候才可以换位，我们家不都号召不投了吗？我可是一票都没投，难道都是黑投的吗？也太努力了吧……都过去一个月了吧怎么还是第一，楼人能不能给点力？把黑子投的票压下去啊？这个第一真不想要了，看着心烦 笑死我了，所以珠海的联通客服什么时候可以来私信服务我？ 你知道我的眼睛为什么这么小吗？还不是因为只能容下你一个人 （第1005条wb一定是关于你的） 劝退我的不是困意，是垃圾的网速，看来今晚不可以疯狂地玩了，算了睡觉，晚安⭐️ 啊啊啊啊希望这次我可以抢到！ 在2020年4月26日那天真的失眠了，单曲循环了那么多次，那么zqsg喜欢一颗星星，真的哭了，那晚我的眼睛湿透了枕头，感慨着这世界的荒谬，是他把我从黑暗中拉回来的，谢谢你！ 肖战你真好 ！ 年度听歌报告 肖战年度星力量 又想换微博名字了，这次想换个有趣一点的 搞什么啊，一到晚上联通的网像吃了一样，连条wb都发不出吗？ipad 真的感觉2020 年像是一场梦。我在2019年最后一天穿的衣服跟今天穿的衣服是一模一样的。而xz在2019年底穿着灰色的西装在腾讯宣传馀生，今年穿着类似灰色的西装参加腾讯星光大赏演唱馀生的主题曲。呵呵，多么相似啊，历史总在上演相同的场景。如果2020真的可以重来的话。我真想闭上眼睛在睁开眼发现今天是2019年，然后过两天我又可以过2020，说着“想快点到2020”。但当2020真的快要过去时却开始回想今年我到底做了什么，2020年的朋友圈一刷就到2019了。我好像什么都没有做，好像每天都在浑浑噩噩。一眨眼就2021了。也不是不舍得2020只是2020真的太难了，我甚至不想过2020想直接到2021。可笑的是在2019年的时候，我也是想快点到2020我期待着的2020会比2019更顺利、开心，可事实并非如此。我很害怕2021 比2020更不好过，活得更难。毕竟在2019的时候，我从来没想过2020会过得那么难，当时我觉得2019是最难熬的一年，现在看来2019年的我还是过得很开心的。人哪，总是在羡慕别人的时候永远发现不了原来别人也在羡慕自己。真心希望2021可以顺顺利利希望我可以实现一个愿望，我真的不贪心，就一个而已，求求了。生活总会推着我向前走，不要回头，再见2020，再也不想再把2020过一遍了，我都那么难了，触底反弹可以吗？我还不够努力，我不满意现在的自己，我可以更好，但是为什么别人轻而易举能完成的事情到我身上总是这么难。 不是说当努力到一定程度，幸运自会不期而遇吗？我该怎么做才可以让你满意？我好累，但是我不可以颓废，不可以放过我自己，不可以让自己成为累赘，什么时候才可以完全放松下来啊？什么时候才可以迎接我的高光时刻？还是他已经过去了？再也不存在了？我真的好累，感觉活着就是在浪费时间金钱，真的好迷惘，不知道该干什么。馀生，请多指教 2021拜托了 对这种小学妹真的很无语，把朋友圈当成二次元撕逼的场地。怎样！我就是真情实感地喜欢他！到底是谁不红啊搞笑，天天引战的人是你！呵呵真不知道你脑子里是不是都是这些污浊的言语，真是可悲、可笑！ 说实话我现在看到277这个数字心中还是会嘎哒一下 爷回来了！今晚要发10条微博庆祝最幸运的幸运 2020就像是一场梦，真的希望2021可以活的像样一点 往前走，不回头，不能哭，努力奋斗 呜呜呜还有还有吗！ “听说大佬来炸场子啦！”肖战 “嗯？听说有人还没睡！”“我发誓这是最后一次！”肖战星光大赏 差点忘记签到了，还好来得及。今晚好好好开心最后最后的放纵了，要学习了垃圾！为了以后自己可以有能力在正式的场合与你相见，再逼自己一把，你可以的你一定要努力，努力努力努力！ 今夜星光闪闪 爱你的心满满 你是我的光 欢迎回来我的主唱大人！ 你就是光 谢谢你！ 馀生今晚播吧！ 喜欢看你笑的样子！ 呜呜呜呜反正我是哭了！肖战好红！ 肖战星光大赏 我又被帅到了！我的总裁！欢迎回来！肖战甩笔 好帅啊哥呜呜呜呜肖战真的是个宝藏！ hi 我的宝 谢谢谢谢谢谢 欢迎回来～ 哪个小朋友不听话？ 啊啊啊啊啊啊我都不会讲话了！ 肖战星光大赏 期待肖战！！！ 我人没了没了 啊啊啊啊啊啊啊啊好帅！ 谢谢你！小别离 绿洲 最近好多朋友都说我总是说自己很垃圾，让我别总是觉得自己不优秀。可是从小到大我从来没有坚持成功做过什么事情，学的东西全部都是半途而废，我也一直不是别人家长口中的“别人家的孩子”，父母也从来没有夸过我，我觉得我就是烂泥扶不上墙，我自己知道自己的能力能做什么，我什么都做不好，及时止损为的只是为了不给家里带来负担。谁想做垃圾啊，本来垃圾就无法选择自己的未来能做什么，能活着就是给自己最好的结果。生日快乐垃圾！mememe 最近压力挺大的，有时候确实觉得很烦，就连我朋友都觉得我脾气有点暴躁了，只是因为几件小事，比如书掉在地上，用的笔没水了，脸上长了颗小疙瘩，我都会大发一通脾气，但肖战从身后抱住我，说我这是婚前焦虑症，早知道就不选在你生日的日子里结婚了，说完他还亲了亲我的嘴角，嗯…… 我这辈子是没办法嫁人了 追星追了个越长越帅的 这视频帅到我要永久保存！！！肖战好帅好帅今晚做梦视频get 奋力奔跑！！！啊啊啊啊啊啊啊你怎么那么帅！救命我嘴角一直上扬！ 绿洲 好了可以满意地躺下睡觉了！ 是不是孤单过才学会长大？如果这世界复杂 虚假 喧哗我也会用尽我的一切奔向你啊你如此的耀眼就算很遥远啊我一定会到达啊因为有幸遇见你有你我黑暗的人生有了一丝光明就算我多渺小我也要努力成为更好的自己努力奔向你肖战说话时没声音 （我以为我耳朵聋了，但听现场真的很好听啊） 啊啊啊啊啊啊啊啊啊啊好帅 我会用尽我的一切奔向你啊！ 肖战 演员请就位决赛 用尽我的一切奔向你 (电影《闪光少女》「友情」旗舰概念曲) 啊啊啊啊真好！满满正能量一天！,0
 一切顺利 冷血狂宴纪念票 终于赶在十二点前买到了！！差点来不及领取纪念票,0
   昨天看了很精彩的戏，见到了很久没见的朋友。 起起落落 但总归还是快乐的事情占的篇幅大一点,2
